title,price,category,url
IQBAR - Costco Next,1.03,fuel,https://www.costco.com/productid.100351501.html
Kaged Muscle Supplements - Costco Next,1.03,recovery,https://www.costco.com/productid.100351595.html
"Bai Antioxidant Cocofusion, Variety Pack, 18 fl oz 15-count",23.99,hydration,https://www.costco.com/productid.1052848.html
"Brush On Block SPF 30 Mineral Powder Sunscreen, 0.12 oz Duo",27.99,body,https://www.costco.com/productid.1080338.html
"David’s Cookies Premier Chocolate Cake, 7.2 lbs (Serves 14)",74.99,fuel,https://www.costco.com/productid.1138993.html
"David’s Cookies Mile High Peanut Butter Cake, 6.8 lbs (14 Servings)",69.99,fuel,https://www.costco.com/productid.1138994.html
"David's Cookies Chocolate Fudge Birthday Cake, 3.75 lbs.  Includes Party Pack (16 Servings)",69.99,fuel,https://www.costco.com/productid.1160390.html
"Desert Valley Date Organic Deglet Noor Pitted Dates, 40 oz",9.99,fuel,https://www.costco.com/productid.1163635.html
"MegaMulch Expanding Coconut Coir, 2-pack",25.99,hydration,https://www.costco.com/productid.1172589.html
"Power Crunch Protein Energy Bar, French Vanilla, 1.4 oz, 12-count",14.49,fuel,https://www.costco.com/productid.1175308.html
"Orgain Organic Protein and Superfoods Plant Based Protein Powder, Vanilla Bean, 2.7 lbs",26.99,recovery,https://www.costco.com/productid.1195611.html
"Vita Coco, Coconut Water, 11.1 fl oz, 18-Count",21.19,hydration,https://www.costco.com/productid.1218891.html
"Optimum Nutrition Gold Standard 100% Whey Protein Powder, Vanilla Ice Cream, 5.47 lbs",79.99,recovery,https://www.costco.com/productid.1243864.html
"Optimum Nutrition Gold Standard 100% Whey Protein Powder, Extreme Milk Chocolate, 5.64 lbs",79.99,recovery,https://www.costco.com/productid.1243880.html
"Creed Aventus Eau de Parfum, 3.3 fl oz",309.99,fuel,https://www.costco.com/productid.1264702.html
"Liquid I.V. Hydration Multiplier, 30 Individual Serving Stick Packs in Resealable Pouch, Lemon Lime",24.99,hydration,https://www.costco.com/productid.1267379.html
"Vital Proteins Collagen Peptides, Unflavored, 1.5 lbs",28.99,recovery,https://www.costco.com/productid.1303463.html
"Zipfizz Multi-Vitamin Energy Hydration Drink Mix, 30 Tubes",29.99,hydration,https://www.costco.com/productid.1329807.html
"David's Cookies No Sugar Added Cheesecake &amp; Marble Truffle Cake, 2-pack (28 Slices Total)",74.99,fuel,https://www.costco.com/productid.1347207.html
David's Cookies Mango &amp; Strawberry Cheesecake 2-count (28 Slices Total),69.99,fuel,https://www.costco.com/productid.1350663.html
"David's Cookies 10"" Rainbow Cake  (12 Servings)",79.99,fuel,https://www.costco.com/productid.1353724.html
"Zipfizz Multi-Vitamin Energy Hydration Drink Mix, Variety Pack, 30 Tubes",29.99,hydration,https://www.costco.com/productid.135576.html
"Power Crunch Protein Energy Bar, Triple Chocolate, 1.4 oz, 12-count",14.49,fuel,https://www.costco.com/productid.1367003.html
"Orgain USDA Organic Simple Plant Protein Powder, Chocolate Peanut Butter Cup, 2.12 lbs",33.99,recovery,https://www.costco.com/productid.1372659.html
"Zipfizz Hydration Drink Mix Limited Edition Variety, 30-count",29.99,hydration,https://www.costco.com/productid.1374447.html
"Further Food Grass-Fed Collagen Peptides Powder Plus Mushroom, Chocolate, 56 Servings",24.99,recovery,https://www.costco.com/productid.1392756.html
"Kirkland Signature, Organic Coconut Water, 11.1 fl oz, 12-count",14.99,hydration,https://www.costco.com/productid.1394201.html
David's Cookies 90-piece Gourmet Chocolate Chunk Frozen Cookie Dough,64.99,fuel,https://www.costco.com/productid.1440928.html
"Made in Nature USDA Organic Dates 40 oz, 2-pack",32.99,fuel,https://www.costco.com/productid.1458235.html
"NATURADE Plant-Based Weight Loss High Protein Shake, Vanilla Creme, 2.5 lbs",36.99,recovery,https://www.costco.com/productid.1466593.html
"C2O Coconut Water Hydration Pack, The Original, 17.5 fl oz, 15-count",20.99,hydration,https://www.costco.com/productid.1469902.html
"IncrediSoil Expanding Concentrated Potting Mix, 2-pack",27.99,hydration,https://www.costco.com/productid.1481186.html
"Café 5.1 cu. ft. Built-In Beverage Center, 14 Bottles or 126 Cans, with LED Light Wall, Platinum Glass Finish",2849.99,fuel,https://www.costco.com/productid.1484462.html
"Kirkland Signature, Organic Coconut Water, 33.8 fl oz, 9-count",24.99,hydration,https://www.costco.com/productid.1495250.html
"Orgain Organic Protein and Superfoods Plant Based Protein Powder, Creamy Chocolate Fudge, 2.64 lbs",26.99,recovery,https://www.costco.com/productid.1502205.html
"Orgain USDA Organic Simple Plant Protein Powder, Creamy Vanilla, 2.2 lbs",33.99,recovery,https://www.costco.com/productid.1502217.html
"Vital Proteins Collagen Peptides, Chocolate, 2 lbs",28.99,recovery,https://www.costco.com/productid.1503828.html
"CLIF BAR Energy Bar, Variety Pack, 2.4 oz, 26-count",18.99,fuel,https://www.costco.com/productid.1532586.html
