title,price,price_was,pct_off,source,category,url
"Costco: Ferrero Rocher, Milk Chocolate Hazelnut Candy, 21.2 oz, 48 Count $11.99 after $4.00 coupon",4,11.99,66.6,slickdeals,recovery,https://slickdeals.net/f/17836920-costco-ferrero-rocher-milk-chocolate-hazelnut-candy-21-2-oz-48-count-11-99-after-4-00-coupon?utm_source=rss&utm_content=def&utm_medium=RSS2
"Further Food Grass-Fed Collagen Peptides Powder Plus Mushroom, Chocolate, 56 Servings",24.99,35.99,30.6,rapidapi,recovery,https://www.costco.com/s?keyword=Further%20Food%20Grass-Fed%20Collagen%20Peptides%20Powder%20Plus%20Mushroom%2C%20Chocolate%2C%2056%20Servings
"Orgain and Justin's Nut Butter Protein Powder, Dark Chocolate Peanut Butter, 2.01lbs",27.99,37.99,26.3,rapidapi,recovery,https://www.costco.com/s?keyword=Orgain%20and%20Justin%27s%20Nut%20Butter%20Protein%20Powder%2C%20Dark%20Chocolate%20Peanut%20Butter%2C%202.01lbs
"Little Hotties Footwear, Glove & Helmet Dryer $39.99 ($29.99 B&M) at Costco Ends 11/22",29.99,39.99,25,slickdeals,gear,https://slickdeals.net/e/14586247-little-hotties-footwear-glove-helmet-dryer-39-99-29-99-b-m-at-costco-ends-11-22?utm_source=rss&utm_content=def&utm_medium=RSS2
"Liquid I.V. Hydration Multiplier, 30 Individual Serving Stick Packs in Resealable Pouch, Lemon Lime",24.99,32.99,24.2,rapidapi,hydration,https://www.costco.com/s?keyword=Liquid%20I.V.%20Hydration%20Multiplier%2C%2030%20Individual%20Serving%20Stick%20Packs%20in%20Resealable%20Pouch%2C%20Lemon%20Lime
"Liquid I.V. Hydration Multiplier, 30 Individual Serving Stick Packs in Resealable Pouch, Tropical Punch",24.99,32.99,24.2,rapidapi,hydration,https://www.costco.com/s?keyword=Liquid%20I.V.%20Hydration%20Multiplier%2C%2030%20Individual%20Serving%20Stick%20Packs%20in%20Resealable%20Pouch%2C%20Tropical%20Punch
"Liquid I.V. Hydration Multiplier, 30 Individual Serving Stick Packs in Resealable Pouch, Variety Pack",24.99,32.99,24.2,rapidapi,hydration,https://www.costco.com/s?keyword=Liquid%20I.V.%20Hydration%20Multiplier%2C%2030%20Individual%20Serving%20Stick%20Packs%20in%20Resealable%20Pouch%2C%20Variety%20Pack
"Liquid I.V. Hydration Multiplier, 30 Individual Serving Stick Packs in Resealable Pouch, Sugar Free, Rainbow Sherbet",24.99,32.99,24.2,rapidapi,hydration,https://www.costco.com/s?keyword=Liquid%20I.V.%20Hydration%20Multiplier%2C%2030%20Individual%20Serving%20Stick%20Packs%20in%20Resealable%20Pouch%2C%20Sugar%20Free%2C%20Rainbow%20Sherbet
"Liquid I.V. Energy Multiplier, 26 Individual Serving Stick Packs in Resealable Pouch, Sugar Free, Variety Pack",24.99,32.99,24.2,rapidapi,hydration,https://www.costco.com/s?keyword=Liquid%20I.V.%20Energy%20Multiplier%2C%2026%20Individual%20Serving%20Stick%20Packs%20in%20Resealable%20Pouch%2C%20Sugar%20Free%2C%20Variety%20Pack
"Liquid I.V. Hydration Multiplier, 30 Individual Serving Stick Packs in Resealable Pouch, Sugar Free, Mango Pineapple",24.99,32.99,24.2,rapidapi,hydration,https://www.costco.com/s?keyword=Liquid%20I.V.%20Hydration%20Multiplier%2C%2030%20Individual%20Serving%20Stick%20Packs%20in%20Resealable%20Pouch%2C%20Sugar%20Free%2C%20Mango%20Pineapple
"Liquid I.V. Hydration Multiplier, 30 Individual Serving Stick Packs in Resealable Pouch, Sugar Free, Variety Pack",24.99,32.99,24.2,rapidapi,hydration,https://www.costco.com/s?keyword=Liquid%20I.V.%20Hydration%20Multiplier%2C%2030%20Individual%20Serving%20Stick%20Packs%20in%20Resealable%20Pouch%2C%20Sugar%20Free%2C%20Variety%20Pack
"Liquid I.V. Hydration Multiplier, 30 Individual Serving Stick Packs in Resealable Pouch, Sugar Free, Ring Pop Cherry",24.99,32.99,24.2,rapidapi,hydration,https://www.costco.com/s?keyword=Liquid%20I.V.%20Hydration%20Multiplier%2C%2030%20Individual%20Serving%20Stick%20Packs%20in%20Resealable%20Pouch%2C%20Sugar%20Free%2C%20Ring%20Pop%20Cherry
Theragun G3 PRO Therapy Massage Gun $349.99 & Theragun G3 Premium $274.99- Costco.com,274.99,349.99,21.4,slickdeals,gear,https://slickdeals.net/e/14676665-theragun-g3-pro-therapy-massage-gun-349-99-theragun-g3-premium-274-99-costco-com?utm_source=rss&utm_content=def&utm_medium=RSS2
"Vital Proteins Collagen Peptides, Unflavored, 1.5 lbs",28.99,34.99,17.1,rapidapi,recovery,https://www.costco.com/s?keyword=Vital%20Proteins%20Collagen%20Peptides%2C%20Unflavored%2C%201.5%20lbs
"Vital Proteins Collagen Peptides, Chocolate, 2 lbs",28.99,34.99,17.1,rapidapi,recovery,https://www.costco.com/s?keyword=Vital%20Proteins%20Collagen%20Peptides%2C%20Chocolate%2C%202%20lbs
"Vital Proteins Collagen Peptides, Strawberry Lemonade, 1.7 lbs",28.99,34.99,17.1,rapidapi,recovery,https://www.costco.com/s?keyword=Vital%20Proteins%20Collagen%20Peptides%2C%20Strawberry%20Lemonade%2C%201.7%20lbs
Costco B&M - Copper Fit Compression Socks (2 pair) - $12.97,12.97,,,slickdeals,gear,https://slickdeals.net/f/15046972-costco-b-m-copper-fit-compression-socks-2-pair-12-97?utm_source=rss&utm_content=def&utm_medium=RSS2
