term,tier,category
electrolyte powder,core,hydration
liquid iv,core,hydration
protein powder,core,recovery
energy bar,core,fuel
clif bar,core,fuel
fig bar,core,fuel
energy chews,core,fuel
dates,core,fuel
peanut butter,core,fuel
sunscreen,core,body
creatine,core,recovery
coconut water,core,hydration
gummy,extended,fuel
applesauce pouch,extended,fuel
fruit snacks,extended,fuel
stroopwafel,extended,fuel
tart cherry,extended,recovery
chocolate milk,extended,recovery
greek yogurt,extended,recovery
compression socks,extended,gear
wool socks,extended,gear
sunglasses,extended,gear
massage gun,extended,gear
foam roller,extended,gear
bike,extended,gear
helmet,extended,gear
garmin,extended,gear
lmnt,extended,hydration
